DER Load Metric Buckets,AVERAGE of Waiting Time (AVG),AVERAGE of Service Level (20 Seconds),AVERAGE of DER Abandonment Rate,AVERAGE of Incoming Calls
0.0,0:02:02,77.72%,5.20%,35
0.1,0:03:23,70.77%,7.59%,105
0.2,0:03:35,72.58%,6.08%,161
0.3,0:03:32,73.32%,5.89%,204
0.4,0:04:22,72.28%,6.96%,264
0.5,0:04:34,69.70%,7.75%,311
0.6,0:04:41,67.49%,8.53%,355
0.7,0:07:17,49.57%,15.87%,435
0.8,0:09:15,44.50%,19.78%,524
0.9,0:09:50,40.76%,20.14%,583
1.0,0:10:26,28.10%,27.91%,733
1.1,0:14:45,31.02%,28.12%,743
1.2,0:11:29,21.87%,31.95%,783
1.3,0:20:10,20.74%,36.16%,992
1.4,0:09:55,22.43%,21.40%,794
1.5,0:13:59,20.68%,33.14%,1206
1.6,0:12:04,25.68%,30.28%,905
1.7,0:15:53,12.16%,42.55%,1349
1.8,0:15:31,29.65%,25.18%,1100
1.9,0:11:11,19.00%,26.81%,1242
Grand Total,0:03:52,70.87%,7.31%,199
